question,file_a,file_b,score,jaccard,control,idents,loops,calls
1,q1_mahf.c,q1_mmrm.c,0.727253,0.574713,1.000000,0.315789,1.000000,1.000000
1,q1_chccp.c,q1_lgof.c,0.727193,0.526316,1.000000,0.444444,1.000000,1.000000
1,q1_bgnp.c,q1_lbas2.c,0.727040,0.516129,1.000000,0.470588,1.000000,1.000000
1,q1_bssah.c,q1_jppp.c,0.725882,0.564706,1.000000,0.333333,1.000000,1.000000
1,q1_jppp.c,q1_mahf.c,0.725882,0.564706,1.000000,0.333333,1.000000,1.000000
1,q1_afo.c,q1_mfpc.c,0.724885,0.574713,1.000000,0.300000,1.000000,1.000000
1,q1_fem.c,q1_lrvo.c,0.724706,0.411765,1.000000,0.733333,1.000000,1.000000
1,q1_bssah.c,q1_jcvg.c,0.720588,0.500000,1.000000,0.470588,1.000000,1.000000
1,q1_dlc.c,q1_mmrm.c,0.719102,0.474227,1.000000,0.529412,1.000000,1.000000
1,q1_amfgs.c,q1_meso.c,0.717263,0.530000,1.000000,0.368421,1.000000,1.000000
1,q1_dlc.c,q1_meso.c,0.717263,0.530000,1.000000,0.368421,1.000000,1.000000
1,q1_jcvg.c,q1_meso.c,0.717263,0.530000,1.000000,0.368421,1.000000,1.000000
1,q1_mmrm.c,q1_vgjda2.c,0.717167,0.469388,1.000000,0.529412,1.000000,1.000000
1,q1_lgof.c,q1_wmsn.c,0.716277,0.553191,1.000000,0.300000,1.000000,1.000000
1,q1_smbsa.c,q1_wmsn.c,0.713774,0.521277,1.000000,0.368421,1.000000,1.000000
1,q1_vgjda2.c,q1_wmsn.c,0.713596,0.520833,1.000000,0.368421,1.000000,1.000000
1,q1_mahf.c,q1_smbsa.c,0.711538,0.307692,1.000000,0.923077,1.000000,1.000000
1,q1_afo.c,q1_fcs.c,0.710385,0.538462,1.000000,0.300000,1.000000,1.000000
1,q1_chccp.c,q1_mmrm.c,0.710054,0.537634,1.000000,0.300000,1.000000,1.000000
1,q1_fem.c,q1_mahf.c,0.707576,0.393939,1.000000,0.666667,1.000000,1.000000
1,q1_gtc.c,q1_meso.c,0.707000,0.530000,1.000000,0.300000,1.000000,1.000000
1,q1_chccp.c,q1_wmsn.c,0.705526,0.526316,1.000000,0.300000,1.000000,1.000000
1,q1_lgof.c,q1_vgjda2.c,0.703333,0.520833,1.000000,0.300000,1.000000,1.000000
1,q1_mahf.c,q1_vgjda2.c,0.701716,0.510870,1.000000,0.315789,1.000000,1.000000
1,q1_afo.c,q1_smbsa.c,0.698812,0.483871,1.000000,0.368421,1.000000,1.000000
1,q1_amfgs.c,q1_bssah.c,0.697368,0.500000,1.000000,0.315789,1.000000,1.000000
1,q1_amfgs.c,q1_mahf.c,0.697368,0.500000,1.000000,0.315789,1.000000,1.000000
1,q1_bssah.c,q1_dlc.c,0.697368,0.500000,1.000000,0.315789,1.000000,1.000000
1,q1_bssah.c,q1_gtc.c,0.697368,0.500000,1.000000,0.315789,1.000000,1.000000
1,q1_dlc.c,q1_mahf.c,0.697368,0.500000,1.000000,0.315789,1.000000,1.000000
1,q1_gtc.c,q1_mahf.c,0.697368,0.500000,1.000000,0.315789,1.000000,1.000000
1,q1_jcvg.c,q1_mahf.c,0.697368,0.500000,1.000000,0.315789,1.000000,1.000000
1,q1_fem.c,q1_wmsn.c,0.697100,0.479592,1.000000,0.368421,1.000000,1.000000
1,q1_fcs.c,q1_mahf.c,0.696535,0.366337,1.000000,0.666667,1.000000,1.000000
1,q1_chccp.c,q1_mfpc.c,0.695000,0.500000,1.000000,0.300000,1.000000,1.000000
1,q1_fcs.c,q1_mfpc.c,0.695000,0.500000,1.000000,0.300000,1.000000,1.000000
1,q1_amfgs.c,q1_mmrm.c,0.694954,0.474227,1.000000,0.368421,1.000000,1.000000
1,q1_jcvg.c,q1_mmrm.c,0.694954,0.474227,1.000000,0.368421,1.000000,1.000000
1,q1_mfpc.c,q1_vgjda2.c,0.692895,0.494737,1.000000,0.300000,1.000000,1.000000
1,q1_afo.c,q1_wmsn.c,0.692763,0.468750,1.000000,0.368421,1.000000,1.000000
1,q1_amfgs.c,q1_smbsa.c,0.690830,0.463918,1.000000,0.368421,1.000000,1.000000
1,q1_dlc.c,q1_smbsa.c,0.690830,0.463918,1.000000,0.368421,1.000000,1.000000
1,q1_jcvg.c,q1_smbsa.c,0.690830,0.463918,1.000000,0.368421,1.000000,1.000000
1,q1_meso.c,q1_wmsn.c,0.689412,0.400000,1.000000,0.529412,1.000000,1.000000
1,q1_fcs.c,q1_lgof.c,0.686837,0.479592,1.000000,0.300000,1.000000,1.000000
1,q1_meso.c,q1_vgjda2.c,0.686395,0.452830,1.000000,0.368421,1.000000,1.000000
1,q1_gtc.c,q1_mmrm.c,0.684691,0.474227,1.000000,0.300000,1.000000,1.000000
1,q1_maolf.c,q1_meso.c,0.682654,0.443478,1.000000,0.368421,1.000000,1.000000
1,q1_gtc.c,q1_smbsa.c,0.680567,0.463918,1.000000,0.300000,1.000000,1.000000
1,q1_meso.c,q1_rvm2.c,0.680455,0.463636,1.000000,0.300000,1.000000,1.000000
1,q1_bgnp.c,q1_mmrm.c,0.680355,0.377358,1.000000,0.529412,1.000000,1.000000
1,q1_bgnp.c,q1_mahf.c,0.679004,0.396040,1.000000,0.470588,1.000000,1.000000
1,q1_chccp.c,q1_meso.c,0.677857,0.457143,1.000000,0.300000,1.000000,1.000000
1,q1_fcs.c,q1_meso.c,0.677857,0.457143,1.000000,0.300000,1.000000,1.000000
1,q1_smbsa.c,q1_vgjda2.c,0.677263,0.430000,1.000000,0.368421,1.000000,1.000000
1,q1_barlf.c,q1_dfm.c,0.674656,0.467890,1.000000,0.250000,1.000000,1.000000
1,q1_bssah.c,q1_chccp.c,0.672368,0.437500,1.000000,0.315789,1.000000,1.000000
1,q1_chccp.c,q1_mahf.c,0.672368,0.437500,1.000000,0.315789,1.000000,1.000000
1,q1_bgnp.c,q1_smbsa.c,0.671468,0.355140,1.000000,0.529412,1.000000,1.000000
1,q1_bgnp.c,q1_jppp.c,0.671106,0.434343,1.000000,0.315789,1.000000,1.000000
1,q1_chccp.c,q1_lrvo.c,0.671000,0.440000,1.000000,0.300000,1.000000,1.000000
1,q1_fem.c,q1_lbas2.c,0.670755,0.301887,1.000000,0.666667,1.000000,1.000000
1,q1_lrvo.c,q1_mahf.c,0.670755,0.301887,1.000000,0.666667,1.000000,1.000000
1,q1_lbas2.c,q1_wmsn.c,0.670564,0.432990,1.000000,0.315789,1.000000,1.000000
